Ticker;Total_revenue_2016;Total_revenue_2017;Total_revenue_2018;Total_revenue_2019;Total_revenue_2020;Total_revenue_2021;Market_cap_2017;Market_cap_2018;Market_cap_2019;Market_cap_2020;Market_cap_2021;Market_cap_2022;;
MMM;30109;31657;32765;32136;32184;35355;107404;140188;110949;101450;100823;102360;;
ABT;20853;27390;30578;31904;34608;43075;60674;99316;127036;153608;187600;241365;;
ACN;34797;36176;40992;43215;44327;50533;74083;90984;105120;127749;157815;225748;;
ADBE;5584;7301;9030;11171;12868;15785;49589;88493;122468;149837;228840;293345;;
AES;10281;10530;10736;10189;9660;11141;7660;7152;9577;13211;15631;16201;;
ALK;5925;7984;8264;8781;3566;6176;10938;9045;7503;8345;6431;6529;;
MO;25744;25576;25364;25110;26153;26013;131611;136032;93806;93238;76195;87055;;
AMZN;135987;177866;232887;280522;386064;469822;17816;28177;36721;45808;81708;84550;;
AAL;40142;42622;44541;45768;17377;29882;24191;24896;14789;12564;9632;11629;;
AAPL;215639;229234;265595;260174;274515;365817;617588;860882;741374;1287658;2243728;2892120;;
AMAT;10825;14698;16705;14608;17202;23063;37860;60178;37344;56758;88719;117615;;
BDX;12483;12093;15983;17290;17117;20248;38280;57029;60713;73707;72777;71683;;
BBY;39403;42151;42879;43638;47262;51761;13642;20825;15734;21916;28178;23488;;
BA;93496;94005;101127;76559;58158;62286;96081;175642;184143;183335;120843;118316;;
BXP;2550;2602;2717;2960;2765;2888;19342;20067;17382;21316;14714;17992;;
CZR;900;1480;2056;2528;3628;9570;798;2547;2806;4625;15469;19994;;
CPB;7961;5837;6615;8107;8691;8476;19215;14231;10307;14718;14575;13343;;
CAH;121546;129976;136809;145534;152922;162467;23035;19276;13288;14794;15716;14509;;
CCL;16389;17510;18881;20825;5595;1908;37367;46995;41602;31440;21353;19649;;
CAT;38537;45462;54722;53800;41748;50971;54259;93750;74394;81617;98884;111834;;
CI;39838;41806;48650;153556;160401;174078;34247;50072;72317;76362;75209;76106;;
CSCO;49247;48005;49930;51904;49301;49818;155512;210400;207398;207234;189176;234541;;
CL;15195;15454;15544;15693;16471;17241;58165;66253;51622;58998;73296;71928;;
CAG;8644;7826;7938;8538;11054;11185;17913;14485;16117;13981;17577;15185;;
COP;24360;32584;38727;36670;19256;48349;62124;65621;71779;71355;42707;95201;;
CSX;11069;11408;12250;11937;10583;12522;33654;49163;52463;56270;69403;83396;;
CVS;177546;184786;194579;256776;268706;292111;84152;73448;84730;96648;89398;136274;;
XRAY;3745;3993;3986;4029;3342;4251;13328;15120;8281;12586;11443;12196;;
DUK;22743;23565;24521;25079;23868;25097;53475;58875;61521;66495;67384;80704;;
EMN;9008;9549;10151;9273;8473;10476;11037;13315;10238;10779;13587;16255;;
EQIX;3611;4368;5071;5562;5998;6635;25511;35457;28342;49777;63634;76160;;
EL;11262;11824;13683;14863;14294;162115;28029;46854;47207;74315;96255;133252;;
FMC;2538;2531;4285;4609;4642;5045;7570;12709;9959;12938;14913;13929;;
GS;30790;32730;36616;36546;44560;59339;100282;96096;62138;81415;94611;127610;;
HAS;5019;5209;4579;4720;5465;6420;9779;11321;10264;14473;12764;13508;;
PEAK;2129;1848;1191;1249;1644;1896;13908;12234;13336;17061;16275;19455;;
HSIC;11571;8883;9417;9985;10119;12401;12211;10968;11878;9770;9399;10391;;
HPE;30280;28871;30852;29135;26982;27784;37758;26140;21805;18010;15962;21122;;
HD;94595;100904;108203;110225;132110;151157;914;2042;1426;385;1579;2426;;
HRL;9523;9167;9545;9497;9608;11386;19100;18359;22164;25256;24518;25626;;
HWM;12394;12960;6778;7098;5259;4972;8129;13116;8147;13322;12375;13598;;
INTC;59387;62761;70848;71965;77867;79024;171883;216029;213367;261348;192893;208678;;
IBM;79919;79139;79591;57714;55179;57350;157832;142067;103303;118711;112166;119866;;
IP;19495;21743;23306;18317;17565;19363;21819;23925;16347;18057;19545;18194;;
IPG;9056;9047;9714;10221;9061;10240;9294;7834;7929;8957;9174;14746;;
IVZ;4374;5160;5314;6117;6145;6894;12395;14875;6886;8161;8006;10617;;
