"Our vision is zero harm, which is supported by one of our three strategic pillars “Always Safe”.",1
"To guide us in our journey towards our vision and strategy, we have selected Serious Incident Frequency (SIF) and Total Recordable Injury Frequency (TRIF) as our key performance indicators.",1
"As a response to two serious process incidents at our onshore plants in 2020, we have developed a new framework for major accident prevention",1
"Two important initiatives to achieve this were implemented in 2021: The strengthening of “human and organisational performance (HOP)”, and the implementation of digital “observation cards” to facilitate more engagement and improved safety behaviour across the workforce.",1
Our leaders actively encourage all employees and contractors to register observations cards.,1
The use of a new digital observation app was introduced in our Norwegian offshore installations in 2021.,1
"although one incident with major accident potential was recorded, when H₂S and LPG leaked at the Mongstad refinery",-1
"In 2021 we experienced no major accidents,",1
Equinor experienced a tragic fatality on one of our chartered tankers when a cadet was found dead in the harbour basin after the ship had left the port near Houston.,-1
Our target of a maximum of nine leaks was not reached.,-1
"During 2021, the backlog of safety critical maintenance has been reduced to pre-Covid level for producing assets, and the number of orders in backlog is at a historically low level, from 138 at the end 2020, to 41 for 2021,",1
The TRIF has developed negatively from 2.3 in 2020 to 2.4 in 2021.,-1
"The number of work-related illnesses remained on the same level as for 2020, with 160 recorded cases.",0
sick leave increased from 4.2 in 2020 to 4.6 in 2021.,-1
"The course, which is mandatory for all employees, focuses on core behaviours within physical, information, cyber and personnel security, travel risk management and reporting.",1
"Of the third-party security guards delivering to the Equinor group, 91% received formal training in line with the Voluntary Principles on Security and Human Rights.",1
"For 2021, the tragic fatality on one of our chartered vessels dominates our overall safety picture",-1
The total number of serious incidents has never been lower than it was in 2021.,-1
Equinor uses external benchmarking to compare our own performance with other companies and industry segments as the basis for recognition and learning,1
Tier 1 serious process events for 2021 put Equinor among the top performers in the first quartile.,1
Equinor’s frequency of personnel injuries is higher than for our peers and industry benchmarking.,-1
"In addition, our sick leave has increased significantly compared with last year.",-1
"Through pulse surveys and dialogues, our employees have indicated that this has improved their feeling of inclusion across locations.",1
"In 2021 we strengthened the focus on safety, security and compliance competence for everyone working in Equinor, by scaling up the use of corporate solutions.",1
The 2021 Universum student survey ranked Equinor as the most attractive employer among Norwegian engineering students for the 25th year in succession,1
"In 2021, we focused on employee mental health",1
"Our ERGs include Women in Equinor, Differently Able, Black in Equinor and Pride Makers.",1
"Every year we conduct a global people survey to evaluate and improve key areas that impact safety, working environment, engagement and the drive for continuous improvement and change in Equinor",1
"our colleagues may place anonymous, confidential reports",1
"In 2021 Equinor was ranked number one on Norway’s SHE diversity index, underlining our efforts and policies for building a more diverse and inclusive organization.",1
"From 1 June 2021, the Corporate Executive Committee was 50% female",1
This group has increased from 36% female in 2017 to 49% female in 2021,1
"During 2021 and in alignment with salient issues identified in our human rights policy, we found indications of forced labour in our value and supply chains, mostly in Southeast Asia.",-1
"Instances of adverse impacts involving communities occurred where we have assets, such as in Tanzania.",-1
"we have developed a performance framework built around four pillars: leadership and governance, risk management, partner and supplier maturity, and management of salient issues.",1
The new corporate structure implemented in 2021 has led to a revised composition of the human rights steering committee,1
We continued to deliver the ‘Human Rights in Practice’ course for human rights professionals.,1
"we found indications of forced labour in our value and supply chains, mostly in Southeast Asia.",-1
"Indicators of forced labour (as defined by ILO) have been identified in seven contracts or projects we are linked to, most typically in relation to payment of recruitment fees, retention of identity documents, restriction of movement, excessive overtime and substandard living conditions. This",-1
"Through risk mapping and assessment of red flags within value and supply chains of seven suppliers, risks and impacts are being addressed jointly.",1
During our early-stage portfolio development of solar energy in 2021 we noted several reports and concerns about potential forced labour in the solar supply chain.,-1
This resulted in the avoidance of impact to reindeer migration routes and hiking trails.,1
"Our focus is on local employment and supply chain opportunities, and contributing to local social and economic development through contractual and voluntary social investments, sponsorships, donations and employee volunteering",1
"Our management system calls for social investments which focus on education, vocational training, institutional capacity building, cultural development and humanitarian aid.",1
"create approximately 3,500 person years employment ensuring job opportunities for several years in the local Norwegian communities of Haugesund, Harstad, Asker and Stavanger.",1
"An illustrative case is the ‘Bridge’ project that Equinor launched in Brazil, intended to build capacity and create opportunities for local start-ups, and small and medium sized enterprises.",1
"Equinor continued its support for educational programmes, for example the agreement signed in 2021 with the department of Chemical and Mining Engineering at the University of Dar Es Salaam in Tanzania, sponsor eight students to pursue MSc degrees in Petroleum Engineering, as well as the teaching costs for lecturers from the Norwegian University of Science and Technology.",1
"During this time, we have invested funds alongside our partners to contribute to building vocational training capabilities, supporting environmental education for youth and the upgrading of Suriname’s only blood bank.",1
Equinor also made donations to the American Red Cross Hurricane Ida relief fund. Donations were also made to the Norwegian Business Association India to support Covid-19 relief efforts.,1
So far it has granted 25 scholarships to local students and is working with local authorities to identify where the fund can support the development of STEM opportunities,1
"As a global company, Equinor is present in parts of the world where corruption is a high risk",0
Key expected benefits from the East Coast Cluster in the UK,0
"Before launching the Norway Energy Hub, we consulted relevant stakeholders to ensure that the plan helps create jobs, value and prosperity",0
Impact assessment and stakeholder consultation,0
Labour and working conditions in our value and supply chain,0
More information on this can be found on equinor.com.,0
Information about our approach to Governance is covered in the Sustainability in Equinor chapter.,0
We have a global network of compliance officers who support the business in identifying and handling business integrity risks and ensure that ethical and anti-corruption considerations are integrated into our activities no matter where they occur,1
