,criteria,labels
0,Focus group on strengthening social,1
1,Employees contribute to ESG,1
2,All employees are provided insurance,1
3,allow employees to take leave,1
4,Occupational health system,1
5, We have identified potential hazard,1
6, High focus on occupational health issues,1
7,Worker participation in health,1
8,Worker training program implemented,1
9,"Workers access to non-occupational medical service
medical and healthcare services",1
10,Collaboration with partners to reduce risks,1
11,Employees feedback on social,1
12,No work-related injuries,1
13,No work-related ill health,1
14, High Average training hours per employee ,1
15,Programs for upgrading skills,1
16,Frequent feedbacks session,1
17,High focus on diverse hiring,1
18,We practice equal pay,1
19,There have been no reports of discrimination at the work place,1
20,We have cut bonds with any operations where freedom of association is limited,1
21,No operation or suppliers use child labor,1
22,No operation or suppliers use forced labor,1
23,Security personell is trained in human right policies,1
24, We have no violations in regards to indigenous people,1
25,We are in tight communication with local communities in cases that concerns them,1
26,None of our operatis have potential negative impacts on local communities,1
27,All our suppliers are screened on social criteria,1
28,No report of negative impacts in the supply chain,1
29,All our political donations are open-sourced,1
30,All our products and services are assessed for health and safety impacts,1
31,There have been safety incidents with our products,2
32,All our prodcuts have extensive labelling,1
33,We have no incidents of non-compliance,1
34,We have no indicents of non-compliance regarding marketing,1
35,No issued regarding breaches of customer privacy,1
36,Our gender diversity is strong,1
37,We have attracted a more diverse workforce,1
38,We struggled hiring diverse this year,2
39,Higher women percentage of the total workforce,1
40,More women hired,1
41,Large turnover,2
42,Layoff rounds had to be completed due to cost savings,2
43,Growth in number of employees,1
44,See attached our overview of new hires,0
45,Table shows distribution of new hires on gender,0
46,We lost customer data under a hackng attack,2
47,Customer data were lost,2
48,Customer privacy was breached,2
49,We have implemented new procedures on data handling,1
50,We have implemented GDPR,1
51,No loss of customer data,1
52,We prioritize customer privacy,1
53,We got hacked,2
54,We received legal issues due to marketing,2
55,We had no issued due to marketing,1
56,Our marketing follow compliance,1
57,Our marketing follows the rules and laws,1
58,No marketing was reported due to mis-representable,1
59,We have no indicents of non-compliance regarding product and service information,1
60,Our labelling fulfill all compliance rules,1
61,We had an issue regarding non-compliant labelling,2
62,Issues due to labelling are handled,1
63,We offer detailed labelling of product ingredients,1
64,Our products are extensivley labeled,1
65,All ingredients is on the package of our products,1
66,All products that can cause harm have the necessarily warnings labeled,1
67,Our product labeling contains the sources of the product,1
68,We have no procedure for labeling our products,2
69,Products come with instructions on safe disposal,1
70,Products come with safety warnings,1
71,Products doesn't come with health warnings,1
72,We don't label all ingredients,1
73,We do not label all products,1
74,There have been health problems due to our services,2
75,No incidents caused by health and safety impacts of our products,1
76,We have no product safety issues,1
77,There have not been any safety issues with our services,1
78,We have encountered some health and safety issues with our product.,2
79,Our products and services are screened for negative impact,1
80,Our products is assesed for possible negative impacts,1
81,Our services is screened for negative impacts,1
82,There are no screening mechanisms for determining impacts of our products,2
83,We screen our products and services continously,1
84,We have an own division to ensure health and safety of our products,1
85,Any product causing health damages is immediatley redacted,1
86,All our donations are public,1
87,Political donations are public,1
88,Our donations are confidential,2
89,We have had negative indcidents in the supply chain,2
90,There have been negative impacts in the supply chain,2
91,Supply chain have had no negative impacts,1
92,Supply chain is assessed continously to secure safe and fair operations,1
93,Fairness in supply chain has been a priority,1
94,We prioritze fairness in the supply chain,1
95,There have been negative social impacts in our supply chain,2
96,Our supply chain has created a negative impact,2
97,Our supply chain created incidents,2
98,We have implemented processes to fix fairness issues in the supply chain,1
99,A problem in the supply chain automatically spawns an investigation,1
100,We have cut suppliers due to they creating negative social impacts,1
101,We have a strict policy to ensure that the supply chain is fair,1
102,A separate committee is assigned the task of investigating impacts of the supply chain,1
103,We have started screening new suppliers on social criteria,1
104,Suppliers are analyzed on social conditions,1
105,Our partners are screened using social criteria,1
106,We use social criteria to assess our suppliers,1
107,"If a partner score bad on social criteria, we terminate the relationship",1
108,Our suppliers is not screened on social criteria,2
109,Our suppliers have received bad press on social criteria,2
110,Some suppliers have broken human rights,2
111,We are going to start screening all suppliers on social criteria,1
112,We have implemented a new system for screening on social criteria,1
113,Our operations have no actual negative impact on local enviroments,1
114,We perform an analysis of all impacts on local communities in our operations,1
115,We have not analyzed potential negative impacts on the local community,2
116,We hva received negative press coverage due to negative impacts on local communites,2
117,Legal issues due to negative impacts on local,2
118,Incident in local community,2
119,Unpopular local community,2
120,We have local community engagement,1
121,Local community engagement is important for us,1
122,For every action that can affect local communities we do thorugh impact assesment,1
123,We provide local development programs in our areas,1
124,We are activley trying to collaborate with the local community,1
125,Hiring from local communities,1
126,No hires from local communties,2
127,No development programs in the local community,2
128,We have been in conflict with a local community,2
129,A local stakeholder group is created in our local communities,1
130,There are no reports of conflicts with indigenous people or their property,1
131, We have received complaint for harrasment of indigenous people,2
132,Complaints received due to property of indigenous people,2
133,Protest for indigenous people's rights have been encountered,2
134,We have policies for treating indigenous people fairly,1
135,We have established procedures to avoid harassing idnigenous people or their property,1
136,There are no reports of conflicts with indigenous people or their property,1
137, We have received complaint for harrasment of indigenous people,2
138,Complaints received due to property of indigenous people,2
139,Protest for indigenous people's rights have been encountered,2
140,We have policies for treating indigenous people fairly,1
141,We have established procedures to avoid harassing idnigenous people or their property,1
142,Security personnel have received formal training,1
143,Security personnel have received formal training in human rights,1
144,All third-party security personnel must be trained in human-rights policies,1
145,Our security personnel is up-to-date on human rights,1
146,Our security personnel is trained in treating populations and people fairly,1
147, Our security personnel is not trained in human rights,2
148,Human rights,0
149,Our suppliers are vetted for forced labor,1
150,We don't have any process for vetting suppliers for forced labor,2
151,We have had episodes overseas of forced labor,2
152,We have a no forced labor policy,1
153,Our suppliers are vetted for child labor,1
154,We don't have any process for vetting suppliers for child labor,2
155,We have had episodes overseas of child labor,2
156,We have a no child labor policy,1
157,No operations or suppliers with limited opportunituies for collective bargaining,1
158,All our suppliers are vetted for freedom of employee association,1
159,Our suppliers go through a thorugh screening process to ensure that employees can join unions,1
160,Some of our operations and suppliers limit workers freedom of association,2
161,We will implement a screening porcess for suppliers workers rights,1
162,Suppliers are screened for following human rights,1
163,No process in place for screening suppliers workers freedom of association,2
164,We have been involved in legal discrimination issues,2
165,Increase in discrimination related incident reports,2
166,Increase in filed complaints due to discrimination,2
167,We have launched audits for investigating complaints,1
168,Every discrimination incidents is followed by Remediation plans,1
169,"Unfortunatley, there has been more discrimination complaints",2
170,Established separate groups to investigate and audit discrimination incidents,1
171,Internal management reviews completed to remove discrimination,1
172,There are still some disrepreancy in salary between males and females,2
173,We practice equal pay for equal work,1
174,We have started an investigation on why more men than women are in leadership positions,1
175,Promotion processes ensure that minorit groups are promoted on the same rate as majority groups,1
176,We focus on removing biases in hiring and promotion processes,1
177,Our board consists of 50% males and 50% females,1
178,Our gender ratio is increasing drastically,1
179,We have completed diverse hiring into management positions,1
180,Introduced minority training programs to increase diversity,1
181,Our gender ration decrease this year,2
182,We have introduced seminars for minority groups,1
183,Women leadership ,1
184,We use software to remove biases in the hiring process,1
185,There are more women than men in leadership postitions,2
186,There are more women than men in leadership positions,2
187,There are as many men as women in leadership positions,1
188,We complete feedback session often,1
189,Regular performance reviews,1
190,Career development reviews completed often,1
191,Frequent career development conversations,1
192,Feedback only once a year,2
193,Few feedback sessions,2
194,We don't complete perforamnce reviews,2
195,Regular perforamnce appraisals,1
196,Programs for veloping workforce,1
197,We offer training for employees to enable them for promotion,1
198,Offering transition assitance programs for employees,1
199,Focus on upskilling employees through training,1
200,Training programs,0
201,No training offered for employees,2
202,Reduced the number of training programs,1
203,Equal hours of training provided to male and female,1
204,Woman and male have equal training hours,1
205,Focused on increasing training for woman,1
206,Increasing diversity to prioritizing training,1
207,We provide paid educational leave,1
208,No educational leave,2
209,Decrease in training hours,2
210,We have increased our focus on training,1
211,Training hours per employee,0
212,Occured work ill health due to chemical,2
213,Increase in work-related ill health,2
214,No work caused ill healt,1
215,We have had no illness occur due to work-realted ill health,1
216,There is no signs of work related ill health,1
217,There have been a slight increase in work-related ill health during the last year,2
218,Overview over work-related illness and injuries,0
219,Lower grade of injuries and health due to work the last 5 years,1
220,No work-related injuries the last year,1
221,Reduction in the number of work-related injuries,1
222,Increase in injuries,2
223,Increase in work-related injuries,2
224,Many work-related injuries,2
225,Few injuries,1
226,No injuries,1
227,No work-realted medical leave,1
228,No work-cause sick leave,1
229,Increase in work related medical leave,2
230,Sick leave,0
231,Injuries,0
232,No fatalities at work,1
233,Fatalities at work has occurred,2
234,We have had fatalities at work,2
235,Death at work,2
236,Create committee for reducing work related injuries,1
237,Employee survey,1
238,Our employee welbein score is decreasing,2
239,"Unfortunaley, we received bad NPS scores from the workers",2
240,Buisness relationship reduce risk,1
241,Joint business relationship plans to prevent hazards,1
242,Work with subcontractors to reduce risks and hazards,1
243,Free healthcare access,1
244,On-site psychological help,1
245,On-site medical help provided,1
246,No dental services offered,2
247,Don't offer medical services,2
248,Dental care free,1
249,Health policy,0
250,Medical policy,0
251,On-site doctors,1
252,On-site nurse,1
253,Easy access to medicine,1
254,We pay for workers medicine and vaccine,1
255,Health insurance provided for all workers,1
