,Company,constant,year,score,total,market_cap,growth,excess_return
0,3M,1,2017,2.7192045723824405,7537,123796.0,0.05141319871134886,0.17423535256137623
1,3M,1,2018,2.23460400090899,8099,125568.5,0.03500015794295108,-0.09984938291153067
2,3M,1,2019,2.8599695002866334,8215,106199.5,-0.019197314207233362,-0.33168895479222416
3,3M,1,2020,2.866892365593397,7996,101136.5,0.0014936519790889058,-0.13493717974343133
4,3M,1,2021,3.52917981327378,9147,101591.5,0.09852721849366142,-0.22042181770773706
5,Abbott,1,2017,1.773079647124751,5719,79995.0,0.31348007480938,0.3525906181377858
6,Abbott,1,2018,3.106885029561201,7288,113176.0,0.11639284410368744,0.322952929717346
7,Abbott,1,2019,0.8108013694846129,5201,140322.0,0.04336451043233702,-0.06797863687385508
8,Abbott,1,2020,1.3323238892608027,6317,170604.0,0.08475426278836506,0.11781807554640178
9,Abbott,1,2021,2.3892146594267096,11414,214482.5,0.2446544151641239,0.03635576111337224
10,Accenture,1,2017,0.5892696796681782,2293,82533.5,0.03962985314825995,0.15763000067457855
11,Accenture,1,2018,0.8131089912535341,2526,98052.0,0.1331269349845201,0.003235425993055263
12,Accenture,1,2019,0.5431172442897544,1825,116434.5,0.05423009367681497,0.22335544032493937
13,Accenture,1,2020,0.6884974157317896,2570,142782.0,0.025731806085849795,0.09781451157294407
14,Accenture,1,2021,-0.8229948429115927,435,191781.5,0.14000496311503152,0.33772638620152673
15,Adobe,1,2017,-1.1229856728713479,409,69041.0,0.3074856733524356,0.5232572586297117
16,Adobe,1,2018,-1.0791408592618452,499,105480.5,0.23681687440076704,0.34325100358174543
17,Adobe,1,2019,-1.0214503150388154,616,136152.5,0.23709856035437427,0.16900744109496912
18,Adobe,1,2020,-0.8806853871346225,818,189338.5,0.151911198639334,0.35379898938565435
19,Adobe,1,2021,-0.7953033816845384,940,261092.5,0.22668635374572577,-0.1350795039156394
