,Company,scores_2016,scores_2017,scores_2018,scores_2019,scores_2020,total_2016,total_2017,total_2018,total_2019,total_2020
0,ABNAMRO,7816,1041,704,964,991,24309,3212,2377,3278,3902
1,Amazon,1226,1503,1440,341,512,3597,4072,3856,1011,1588
2,asr,4738,4297,4956,5293,5948,18578,15610,18691,19722,21212
3,bam,4242,4712,4816,5863,4492,10768,12691,12570,14936,11775
4,CocaCola,3513,3526,3738,5464,3886,11402,11692,11956,16492,12229
5,DS-Smith,3202,3392,3607,565,585,12250,11557,12816,1890,1995
6,Essity,2103,3408,5706,5573,5908,7127,12157,15589,15383,16214
7,Forbo,387,400,417,490,418,1166,1274,1314,1527,1393
8,Google,281,298,302,436,462,1655,1390,1511,1948,2445
9,Heineken,2981,3621,3832,3904,3739,10181,11212,11959,11248,12162
10,Henkel,2112,2312,2377,2738,3129,4572,5000,7023,8072,9290
11,HP,1964,2285,2674,3579,3617,6955,6795,7766,11092,10885
12,ING,9952,6751,7345,7432,8340,31409,23801,24653,22245,25154
13,Intel,1590,1171,1246,1476,1803,5040,3806,4034,4828,5297
14,KPN,3438,3100,3852,4089,4094,11776,10393,14266,14584,13785
15,Microsoft,600,400,661,403,510,1887,1252,1696,940,995
16,NNgroup,1355,1569,1472,1206,1391,4085,4816,4122,3702,4358
17,PepsiCo,547,499,425,523,575,1848,1628,1859,1938,1764
18,Philips,5544,5683,5353,5453,5703,14812,15069,14316,14682,15537
19,ProcterandGamble,1241,1735,1971,2428,3815,3445,4334,4724,5899,8264
20,Renewi,609,423,657,579,618,2106,1198,2124,2338,2258
21,Rockwool,444,475,577,465,502,1626,1625,1661,1487,1773
22,Shell,1146,1254,1297,1325,1468,3822,3712,4527,4913,7775
23,Tesla,7058,6258,200,245,703,28796,27116,1110,1125,2837
24,VanLanschot,7753,7224,6141,5912,5364,16634,16113,14335,14258,13003
